date,site_id,tchla,location
2019-01-21,KC10,1.0383007743343844,C
2019-01-24,DFO2,0.41960802203268305,F
2019-02-14,KC10,0.4756720436303915,C
2019-02-19,DFO2,0.9073154758373594,F
2019-03-13,KC10,1.3307627267816422,C
2019-03-15,DFO2,6.544089711260415,F
2019-04-18,KC10,0.8027427055377268,C
2019-04-19,DFO2,2.0590787451637236,F
2019-05-11,KC10,4.97525750675487,C
2019-05-13,QCS01,12.157396792822494,S
2019-05-14,DFO2,5.999985987859103,F
2019-06-09,QCS01,2.7869693568875076,S
2019-06-10,KC10,4.6688780599252375,C
2019-06-11,DFO2,3.5573352516325847,F
2019-07-06,DFO2,5.2652283700971685,F
2019-07-07,QCS01,4.758803800003505,S
2019-07-10,KC10,1.6019953871622814,C
2019-08-03,KC10,1.6219135561951967,C
2019-08-05,DFO2,4.145591022121137,F
2019-08-06,QCS01,5.214407632479897,S
2019-08-31,QCS01,4.826754902252147,S
2019-09-01,KC10,4.324616860846424,C
2019-09-02,DFO2,6.93001296522556,F
2019-10-01,KC10,0.8147410855465689,C
2019-10-04,DFO2,1.5513856131084462,F
2019-10-05,QCS01,1.9320669557386263,S
2019-11-25,DFO2,0.3724364329339532,F
2019-11-26,KC10,0.7043453919889368,C
2019-11-28,QCS01,0.2968598535692378,S
2020-02-11,KC10,0.4693384709693008,C
2020-02-12,DFO2,1.0907234945515083,F
2020-04-30,KC10,9.266382697622117,C
2020-05-01,QCS01,5.037774475479287,S
2020-05-04,DFO2,2.683743648958014,F
2020-06-04,KC10,2.7668930939633585,C
2020-06-06,DFO2,1.349344268410177,F
2020-06-08,QCS01,2.366030340144623,S
2020-07-02,KC10,5.692052881117906,C
2020-07-05,QCS01,3.988609137122068,S
2020-07-06,DFO2,1.1923922332761805,F
2020-08-07,KC10,3.199799270146626,C
2020-08-08,DFO2,2.1896329698416417,F
2020-09-03,KC10,1.5220256876668328,C
2020-09-04,QCS01,2.1747535557339073,S
2020-09-05,DFO2,0.5574738880259966,F
2020-10-01,KC10,1.864939038668663,C
2020-10-02,QCS01,0.8156951380869771,S
2020-10-04,DFO2,1.212187841518357,F
2020-11-04,KC10,0.38972377135745273,C
2020-11-27,KC10,0.1356215665762927,C
2020-11-30,DFO2,0.21479154448176013,F
2018-01-10,QCS01,0.20722669074887115,S
2018-01-11,KC10,0.29416184674569673,C
2018-01-12,DFO2,0.1431096489352976,F
2018-02-19,KC10,0.20629697342629252,C
2018-02-20,DFO2,0.34183539767760573,F
2018-02-21,QCS01,0.29627000087350597,S
2018-03-24,QCS01,0.8577539502815645,S
2018-03-27,KC10,1.050777685668664,C
2018-03-31,DFO2,6.659096245440016,F
2018-04-22,QCS01,0.9366239367808413,S
2018-04-25,DFO2,5.855954222215904,F
2018-04-28,KC10,6.120669703241195,C
2018-05-23,KC10,6.686272018182753,C
2018-05-29,QCS01,1.5487427031097993,S
2018-05-30,DFO2,6.814921869770657,F
2018-06-19,DFO2,2.7668858707448902,F
2018-06-27,KC10,2.8059276133505757,C
2018-07-24,DFO2,1.9476126381086072,F
2018-08-19,KC10,4.699948736159122,C
2018-08-21,DFO2,4.182723276804136,F
2018-08-28,QCS01,6.796630161719779,S
2018-09-11,KC10,0.7450091039890216,C
2018-09-13,QCS01,2.315790436969701,S
2018-09-14,DFO2,1.836751315073267,F
2018-10-23,KC10,1.577840077558261,C
2018-11-21,KC10,0.5904400684595744,C
2018-11-22,DFO2,0.20133272235778904,F
